CÓDIGO,CLIENTE,REDE,SUBREDE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,ENDEREÇO,A00_LAT,A00_LONG
2807,SUPER PORTUGAL - SERRINHA,REDE PARCERIA,SUPER PORTUGAL,RUA MONTEVIDEU,200,SERRINHA,FORTALEZA,"RUA MONTEVIDEU, 200, SERRINHA, FORTALEZA",-3.7872948,-38.5439698
2824,PANIFICADORA GRAO DE TRIGO 2,,,RUA CAETANO FIGUEREDO,1079,COHAB II,SOBRAL,"RUA CAETANO FIGUEREDO, 1079, COHAB II, SOBRAL",-3.704705,-40.330919
2827,MERCANTIL O CARLOS,REDE EXATA,,RUA UMARIZEIRAS,2137,PARQUE PRESIDENTE VARGAS,FORTALEZA,"RUA UMARIZEIRAS, 2137, PARQUE PRESIDENTE VARGAS, FORTALEZA",-3.82031895,-38.59938796
2828,PANF IRMAOS ARRUDAS,,,RUA DEZ DE NOVEMBRO,497,ESCOLA NORMAL,VICOSA DO CEARA,"RUA DEZ DE NOVEMBRO, 497, ESCOLA NORMAL, VICOSA DO CEARA",-3.5671741,-41.0875185
2846,MERCADIHO ELENA,,,RUA PADRE ANTONIO MOREIRA,SN,PEDREIRA,PENTECOSTE,"RUA PADRE ANTONIO MOREIRA, SN, PEDREIRA, PENTECOSTE",-3.7857815,-39.273941
2853,MERCADINHO PADRE CICERO,,,RUA MARCOS COUTO BEZERRA,1965,METROPOLITANO,CAUCAIA,"RUA MARCOS COUTO BEZERRA, 1965, METROPOLITANO, CAUCAIA",-3.7599101,-38.660837
2856,MERCADINHO O ELANIO,,,RUA JOAO BASTOS,2461,ALTO GUARAMIRANGA,CANINDE,"RUA JOAO BASTOS, 2461, ALTO GUARAMIRANGA, CANINDE",-4.3627544,-39.3096256
2860,MERCANTIL SENNA,REDE EXATA,,RUA IRACEMA,880,CONJUNTO PALMEIRAS,FORTALEZA,"RUA IRACEMA, 880, CONJUNTO PALMEIRAS, FORTALEZA",-3.8450757,-38.5287336
2863,SUPERMERCADO BOM,,,AVENIDA ALÍPIO GOMES,148,CENTRO,NOVA RUSSAS,"AVENIDA ALÍPIO GOMES, 148, CENTRO, NOVA RUSSAS",-4.7077949,-40.5662673
2865,MERCEARIA ELINETE,,,AVENIDA MANOEL SALES,SN,GARGOE,ITAREMA,"AVENIDA MANOEL SALES, SN, GARGOE, ITAREMA",-2.9449026,-39.9085197
2866,MERCANTIL JOAOZINHO,,,RUA PEDRO OLIMPIO DE MENEZES,288,CENTRO,MASSAPE,"RUA PEDRO OLIMPIO DE MENEZES, 288, CENTRO, MASSAPE",-3.5239431,-40.343543
2871,MERCADINHO CRUZEIRO,,,RUA FRANCISCO DOMINGOS BRAGA FILHO,2700,CRUZEIRO,ITAPIPOCA,"RUA FRANCISCO DOMINGOS BRAGA FILHO, 2700, CRUZEIRO, ITAPIPOCA",-3.4880462,-39.577281
2891,MERCD O JOAO,,,RUA TULIPA,234,PARQUE SILVANA,SOBRAL,"RUA TULIPA, 234, PARQUE SILVANA, SOBRAL",-3.6752878,-40.3474714
2892,SUPER FEIRAO DO LAR - MATRIZ,REDE UNIFORCA,FEIRAO DO LAR SUPERMERCADO,RUA JOAQUIM MAGALHAES,835,CENTRO,CANINDE,"RUA JOAQUIM MAGALHAES, 835, CENTRO, CANINDE",-4.3574525,-39.3122658
2902,PADARIA SANTA FE,,,RUA ROBERTO BRAQUEHAIS,897,CENTRO,MARANGUAPE,"RUA ROBERTO BRAQUEHAIS, 897, CENTRO, MARANGUAPE",-3.8991071,-38.6854113
2909,FRANGOLANDIA - CD,FRANGOLANDIA,,RUA LESTE,289,DISTRITO INDUSTRIAL I,MARACANAU,"RUA LESTE, 289, DISTRITO INDUSTRIAL I, MARACANAU",-3.8546626,-38.6021541
2924,IVAN FRIOS,,,RUA ITALIANO JULIO FILIZOLA,450,CENTRO,SAO BENEDITO,"RUA ITALIANO JULIO FILIZOLA, 450, CENTRO, SAO BENEDITO",-4.0463995,-40.864324
2925,PADARIA E CONF PAO DOURADO,,,RUA MARINHA PAIVA,454,SINHA SABOIA,SOBRAL,"RUA MARINHA PAIVA, 454, SINHA SABOIA, SOBRAL",-3.7061089,-40.334462
2939,SUPERMERCADO BASTOS,REDE EXATA,,RUA EUCLIDES BARROSO,1295,CENTRO,CANINDE,"RUA EUCLIDES BARROSO, 1295, CENTRO, CANINDE",-4.3546826,-39.3215906
2951,PARA TY - ITAPAJE,REDE UNIFORCA,PARA TY,RUA BACHAREL JOSE AIRTON ROCHA,1655,CENTRO,ITAPAJE,"RUA BACHAREL JOSE AIRTON ROCHA, 1655, CENTRO, ITAPAJE",-3.6848322,-39.5853385
2979,MARINHEIRO SUPERMERCADO - GEN SAMPAIO,REDE CEARENSE,MARINHEIRO SUPERMERCADO,AVENIDA JOSE SEVERINO FILHO,2710,NOSSA SENHORA DO ROSARIO,GENERAL SAMPAIO,"AVENIDA JOSE SEVERINO FILHO, 2710, NOSSA SENHORA DO ROSARIO, GENERAL SAMPAIO",-4.0531829,-39.4541758
2990,BARATAO - ALVARO WEYNE,REDE UNIFORCA,BARATAO,AVENIDA DOUTOR THEBERGE,538,ALVARO WEYNE,FORTALEZA,"AVENIDA DOUTOR THEBERGE, 538, ALVARO WEYNE, FORTALEZA",-3.7086442,-38.563186
2993,SO FRIOS,,,RUA DESEMBARGADOR MOREIRA DA ROCHA,621,CENTRO,SOBRAL,"RUA DESEMBARGADOR MOREIRA DA ROCHA, 621, CENTRO, SOBRAL",-3.6854905,-40.3524175
3021,MERCADINHO ALCANTARA,REDE EXATA,,RUA CARDEAL ARCOVERDE,208,AUTRAN NUNES,FORTALEZA,"RUA CARDEAL ARCOVERDE, 208, AUTRAN NUNES, FORTALEZA",-3.7572362,-38.5939325
3023,MERCADINHO DA INES,,,RUA SILVANA,204,ALTO DA EXPECTATIVA,SOBRAL,"RUA SILVANA, 204, ALTO DA EXPECTATIVA, SOBRAL",-3.6742557,-40.3493897
3035,COMERCIAL RAIMUNDO,,,RUA MIQUEL SANTOS,SN,CRUZEIRO,MORRINHOS,"RUA MIQUEL SANTOS, SN, CRUZEIRO, MORRINHOS",-3.2319982,-40.1283137
3059,SUPER DO POVO - CD,SUPER DO POVO,,RUA XII,200,PASSARE,FORTALEZA,"RUA XII, 200, PASSARE, FORTALEZA",-3.7929966,-38.5335303
3078,SUPERMERCADO IRMAO GEMEOS - LJ 01,REDE INTEGRADA,IRMAOS GEMEOS,RUA NOVE,4651,PASSARE,FORTALEZA,"RUA NOVE, 4651, PASSARE, FORTALEZA",-3.8169208,-38.5316105
3106,SUPERMERCADOS BOM JESUS - ACARAU,REDE INTEGRADA,BOM JESUS,RUA CORONEL SALES,290,CENTRO,ACARAU,"RUA CORONEL SALES, 290, CENTRO, ACARAU",-2.8850078,-40.1208065
3119,SUPERMERCADOS BOM JESUS - MATRIZ,REDE INTEGRADA,BOM JESUS,RUA AFONSO FONTES,158,CENTRO,ITAREMA,"RUA AFONSO FONTES, 158, CENTRO, ITAREMA",-2.9231209,-39.9144134
3124,PAULO SERGIO BRITO DE OLIVEIRA,,,RUA ANTONIO FELICIANO DE CARVALHO,206,CENTRO,VICOSA DO CEARA,"RUA ANTONIO FELICIANO DE CARVALHO, 206, CENTRO, VICOSA DO CEARA",-3.5676084,-41.0901057
3129,MERCEARIA SANTANENSE,,,RUA MANOEL JOQUIM,SN,CENTRO,SANTANA DO ACARAU,"RUA MANOEL JOQUIM, SN, CENTRO, SANTANA DO ACARAU",-3.4630951,-40.2088281
3141,PANATTERIA J P LTDA,,,AVENIDA EDILSON BRASIL SOARES,2043,EDSON QUEIROZ,FORTALEZA,"AVENIDA EDILSON BRASIL SOARES, 2043, EDSON QUEIROZ, FORTALEZA",-3.7881406,-38.4676257
3149,VAREJAO SUPERBBARATO,,,RUA ANTONIO FELICIANO DE CARVALHO,16,CENTRO,VICOSA DO CEARA,"RUA ANTONIO FELICIANO DE CARVALHO, 16, CENTRO, VICOSA DO CEARA",-3.567843,-41.0917522
3151,MERCADINHO O ONACIO,,,RUA 31 DE JULHO,SN,ACUDE NOVO,ACARAU,"RUA 31 DE JULHO, SN, ACUDE NOVO, ACARAU",-2.8979192,-40.1192177
3158,MERCEARIA GABRIEL,,,RUA PEDRO ANTONIO MELO,SN,BEM VIVER,CARNAUBAL,"RUA PEDRO ANTONIO MELO, SN, BEM VIVER, CARNAUBAL",-4.16413631,-40.93455342
3166,CENTERBOX - BERNARDO MANUEL,CENTERBOX,,AVENIDA BERNARDO MANUEL,10070,DENDE,FORTALEZA,"AVENIDA BERNARDO MANUEL, 10070, DENDE, FORTALEZA",-3.8071766,-38.555096
3173,SUPER SAVANA,,SUPER SAVANA,RUA CORONEL FRANCISCO LINHARES,161,CENTRO,CARIDADE,"RUA CORONEL FRANCISCO LINHARES, 161, CENTRO, CARIDADE",-4.2312657,-39.1948202
3175,MERCADINHO ALMIR,,,RUA ANTONIO FELICIANO DE CARVALHO,200,CENTRO,VICOSA DO CEARA,"RUA ANTONIO FELICIANO DE CARVALHO, 200, CENTRO, VICOSA DO CEARA",-3.5676151,-41.0901434
3180,MERCADINHO BOA VISTA,,,RUA SAO BRAZ,1885,BOA VISTA,CANINDE,"RUA SAO BRAZ, 1885, BOA VISTA, CANINDE",-4.3379579,-39.2882574
3182,CASA DAS FURTAS,,,RUA JOSE FIRMO AGUIAR,SN,CENTRO,PARAMOTI,"RUA JOSE FIRMO AGUIAR, SN, CENTRO, PARAMOTI",-4.0983621,-39.2399908
3190,MERCANTIL BELA VISTA,,,RUA HONORATO FEIJO,138,CENTRO,PARAMOTI,"RUA HONORATO FEIJO, 138, CENTRO, PARAMOTI",-4.1000116,-39.2391473
3206,COMERCIAL PONTES,,,RUA REGINA CUSTODIO,SN,CENTRO,FRECHEIRINHA,"RUA REGINA CUSTODIO, SN, CENTRO, FRECHEIRINHA",-3.7601586,-40.8117025
3218,MERCANTIL BEM TE VI,,,RUA FRANCISCO FERREIRA FONTELES,309,CENTRO,URUBURETAMA,"RUA FRANCISCO FERREIRA FONTELES, 309, CENTRO, URUBURETAMA",-3.623985,-39.5053374
3224,MERCADINHO MARQUES,,,RUA SAO MATEUS,1,COTESE,TRAIRI,"RUA SAO MATEUS, 1, COTESE, TRAIRI",-3.2781568,-39.2684582
3225,MERCA MOITA,,,RUA TUPY,290,ALTO NOVO,SOBRAL,"RUA TUPY, 290, ALTO NOVO, SOBRAL",-3.6924102,-40.3623571
3229,MERE FRUTAS,,,RUA MARIA SIRLEUDA,SN,ALTO DA PAZ,TURURU,"RUA MARIA SIRLEUDA, SN, ALTO DA PAZ, TURURU",-3.5983777,-39.4348641
3247,ATACAREJO O IRMAO,REDE INTEGRADA,O IRMAO,RUA HERIBALDO RODRIGUES,142,PARQUE POTIRA,CAUCAIA,"RUA HERIBALDO RODRIGUES, 142, PARQUE POTIRA, CAUCAIA",-3.7551255,-38.6225031
3249,KALBIR ATACAREJO - LJ 01,,KALBIR,RUA CORONEL PEDRO SAMPAIO,300,BOA ESPERANCA,MARACANAU,"RUA CORONEL PEDRO SAMPAIO, 300, BOA ESPERANCA, MARACANAU",-3.8496108,-38.5809081
3255,MERCANTIL LEOMAR,,,RUA PREFEITO METON SILVANO,861,SANTA LUZIA,GUARACIABA DO NORTE,"RUA PREFEITO METON SILVANO, 861, SANTA LUZIA, GUARACIABA DO NORTE",-4.1577835,-40.7621973
3256,MERCANTIL ROCHA,,,RUA CAPITAO JOAQUIM FRANCISCO,SN,CENTRO,FRECHEIRINHA,"RUA CAPITAO JOAQUIM FRANCISCO, SN, CENTRO, FRECHEIRINHA",-3.75944,-40.8141061
3259,MERCADINHO PAULO,,,RUA CONSUNEL,15,POTIRA,CAUCAIA,"RUA CONSUNEL, 15, POTIRA, CAUCAIA",-3.759452,-38.6293862
3268,MERCANTIL O OSMAR,,,RUA NORBERTO RODRIGUES,SN,CENTRO,FRECHEIRINHA,"RUA NORBERTO RODRIGUES, SN, CENTRO, FRECHEIRINHA",-3.7601422,-40.818069
3277,MERCANTIL TUTHY FRUTY,,,RUA ORIANO MENDES,289,CENTRO,SOBRAL,"RUA ORIANO MENDES, 289, CENTRO, SOBRAL",-3.6877992,-40.3445677
3282,CENTRAL MERCANTIL,,,RUA CONSELHEIRO JOAO LOURENCO,44,CENTRO,TIANGUA,"RUA CONSELHEIRO JOAO LOURENCO, 44, CENTRO, TIANGUA",-3.7315789,-40.9926612
3286,VILLABOX SUPERMERCADO,REDE INTEGRADA,VILLA BOX,AVENIDA DOUTOR THEBERGE,399,ALVARO WEYNE,FORTALEZA,"AVENIDA DOUTOR THEBERGE, 399, ALVARO WEYNE, FORTALEZA",-3.7078127,-38.5626161
3296,SUPERMERCADO POPULAR,,,RUA ITALIANO JULIO FILIZOLA,512,CENTRO,SAO BENEDITO,"RUA ITALIANO JULIO FILIZOLA, 512, CENTRO, SAO BENEDITO",-4.0465594,-40.8646415
3303,MERCADINHO COUTINHO,,,RUA ANTONIO DE BARROS,325,SABASTIAO GOMES PARENTE,UBAJARA,"RUA ANTONIO DE BARROS, 325, SABASTIAO GOMES PARENTE, UBAJARA",-3.8696823,-40.9178558
3309,SUPERMERCADO SAO TOME,,,RUA SALUSTIANO DE PINHO,175,SAO FRANCISCO,VICOSA DO CEARA,"RUA SALUSTIANO DE PINHO, 175, SAO FRANCISCO, VICOSA DO CEARA",-3.5685025,-41.0923987
3314,MERCAD SAO RAIMUNDO NONATO,,,AVENIDA TABELIAO LUIZ NOQUEIRA LIMA,284,ESTADIO,TIANGUA,"AVENIDA TABELIAO LUIZ NOQUEIRA LIMA, 284, ESTADIO, TIANGUA",-3.7278247,-40.9913411
3317,SUPERMERCADO TIO AUGUSTO - LJ 01,,SUPER TIO AUGUSTO,RUA PADRE IBIAPINA,66,CENTRO,IBIAPINA,"RUA PADRE IBIAPINA, 66, CENTRO, IBIAPINA",-3.9209606,-40.8891574
3322,NENEM PLACIDO,,,RUA PREFEITO JOAQUIM FLORENCIO,213,CENTRO,TIANGUA,"RUA PREFEITO JOAQUIM FLORENCIO, 213, CENTRO, TIANGUA",-3.7308742,-40.9938094
3324,SUPERMERCADO TIO AUGUSTO - LJ 02,,SUPER TIO AUGUSTO,RUA PADRE IBIAPINA,300,CENTRO,IBIAPINA,"RUA PADRE IBIAPINA, 300, CENTRO, IBIAPINA",-3.921306,-40.8869713
3327,VAREJAO CHOCOBALAS - S BENEDITO,,CHOCOBALAS,RUA PAULO MARQUES,340,CENTRO,SAO BENEDITO,"RUA PAULO MARQUES, 340, CENTRO, SAO BENEDITO",-4.0456561,-40.8648321
3329,MERCADINHO MARQUINHO,,,RUA PITUBA,SN,CENTRO,PENTECOSTE,"RUA PITUBA, SN, CENTRO, PENTECOSTE",-3.789948,-39.2761168
3336,MERCADINHO O ANDRE,,,RUA NOSSA SENHORA DAS GRACAS,182,JACANAU,MARACANAU,"RUA NOSSA SENHORA DAS GRACAS, 182, JACANAU, MARACANAU",-3.833973,-38.6393986
3346,MERCADINHO O MUNDICO,,,RUA MONSENHOR LINHARES,105,CENTRO,GROAIRAS,"RUA MONSENHOR LINHARES, 105, CENTRO, GROAIRAS",-3.9146507,-40.3817932
3353,MERCADINHO SAO SEBASTIAO,,,RUA VICENTE SANCHO MARTINS,53,SAO SEBASTIAO,UBAJARA,"RUA VICENTE SANCHO MARTINS, 53, SAO SEBASTIAO, UBAJARA",-3.8532113,-40.9195926
3360,BRASIL FRIOS,,,AVENIDA MANOEL TEIXEIRA,114,CENTRO,JIJOCA DE JERICOACOARA,"AVENIDA MANOEL TEIXEIRA, 114, CENTRO, JIJOCA DE JERICOACOARA",-2.8956635,-40.4509467
3369,MERCADINHO O FRANCUAR,,,RUA TENENTE ANGELO,SN,CENTRO,FRECHEIRINHA,"RUA TENENTE ANGELO, SN, CENTRO, FRECHEIRINHA",-3.7604846,-40.8144501
3386,SUPERMERCADO ISRAEL - LJ 06,REDE INTEGRADA,SUPER ISRAEL,RUA 08 (CJ JOAO PAULO II),108,BARROSO,FORTALEZA,"RUA 08 (CJ JOAO PAULO II), 108, BARROSO, FORTALEZA",-3.8246733,-38.5192122
3402,MERCANTIL AVENIDA,,,AVENIDA SANTISMA TRINDADE,42,CRUZEIRO,SAO BENEDITO,"AVENIDA SANTISMA TRINDADE, 42, CRUZEIRO, SAO BENEDITO",-4.0638362,-40.8591008
3412,SUPER PALMEIRAS,REDE EXATA,,RUA CABO VERDE,660,CONJUNTO PALMEIRAS,FORTALEZA,"RUA CABO VERDE, 660, CONJUNTO PALMEIRAS, FORTALEZA",-3.8503818,-38.5219096
3424,MERC O IVAN,,,RUA FRANCISCO JOSE OLIVEIRA,500,SANTA RITA,ITAPAJE,"RUA FRANCISCO JOSE OLIVEIRA, 500, SANTA RITA, ITAPAJE",-3.6828202,-39.5823635
3431,MERCAD E PANIF FREITAS,,,RUA MIGUEL ARCANJO MENESES,554,ARANAU,ACARAU,"RUA MIGUEL ARCANJO MENESES, 554, ARANAU, ACARAU",-2.8220645,-40.22327
3432,CASA DO ARROZ,,,RUA ITALIANO JULIO FILIZOLA,496,CENTRO,SAO BENEDITO,"RUA ITALIANO JULIO FILIZOLA, 496, CENTRO, SAO BENEDITO",-4.0466825,-40.864625
3439,MERCADINHO O ALMIR,,,AVENIDA ESCRITOR PEDRO FERREIRA DE ASSIS,110,CENTRO,IBIAPINA,"AVENIDA ESCRITOR PEDRO FERREIRA DE ASSIS, 110, CENTRO, IBIAPINA",-3.9210673,-40.8892185
3449,COMERCIAL PAULO JUNIOR,,,RUA MARACANA,SN,SAO LUIZ,MORRINHOS,"RUA MARACANA, SN, SAO LUIZ, MORRINHOS",-3.2286858,-40.1261365
3458,VAREJAO DA BALA,,,RUA DEPUTADO MANOEL FRANCISCO,1021,CENTRO,TIANGUA,"RUA DEPUTADO MANOEL FRANCISCO, 1021, CENTRO, TIANGUA",-3.7254523,-40.9920297
3463,MERCEARIA ARMAZENS DOIS IRMAOS,,,RUA FRANCISCA RODRIGUES DE FARIAS,1059,CENTRO,VARJOTA,"RUA FRANCISCA RODRIGUES DE FARIAS, 1059, CENTRO, VARJOTA",-4.1921038,-40.4771986
3468,MERCANTIL BELEVA,,,RUA JOSÉ POLICARPO,406,CENTRO,PALMACIA,"RUA JOSÉ POLICARPO, 406, CENTRO, PALMACIA",-4.1493002,-38.8455175
3474,MERCADINHO JOSE,,,RUA MOSA ALBUQUERQUE,278,AEROPORTO,TIANGUA,"RUA MOSA ALBUQUERQUE, 278, AEROPORTO, TIANGUA",-3.7177699,-40.9838045
3480,H &A MP C,,,RUA 25 DE SETEMBRO,654,CENTRO,RERIUTABA,"RUA 25 DE SETEMBRO, 654, CENTRO, RERIUTABA",-4.1431403,-40.5815662
3486,CENTERBOX - MESSEJANA - LJ 02,CENTERBOX,,AVENIDA JORNALISTA TOMAZ COELHO,1661,BARROSO,FORTALEZA,"AVENIDA JORNALISTA TOMAZ COELHO, 1661, BARROSO, FORTALEZA",-3.830081,-38.509759
3493,MERCADINHO CARLAO DO JUAR,,,RUA ANTONIO FELICIANO DE CARVALHO,SN,CENTRO,VICOSA DO CEARA,"RUA ANTONIO FELICIANO DE CARVALHO, SN, CENTRO, VICOSA DO CEARA",-3.5676026,-41.090805
3500,MERCADINHO KIKO,,,RUA JOAO MARTINS TEIXEIRA,329,BARATEIRO,ITAPAJE,"RUA JOAO MARTINS TEIXEIRA, 329, BARATEIRO, ITAPAJE",-3.6927925,-39.6015367
3501,MERCAD SHALLON,,,RUA SEBASTIAO MIRANDA,238,CENTRO,CARIRE,"RUA SEBASTIAO MIRANDA, 238, CENTRO, CARIRE",-3.9503811,-40.4712007
3505,CINTIA DE AGUIAR SIMOES,,,RUA MANOEL LUIS DA SILVA,409,SANTA CECILIA,VICOSA DO CEARA,"RUA MANOEL LUIS DA SILVA, 409, SANTA CECILIA, VICOSA DO CEARA",-3.5611025,-41.0896641
3508,PAO DE ACUCAR - AGUANAMBI (1398),GPA,PAO DE ACUCAR,AVENIDA AGUANAMBI,1393,FATIMA,FORTALEZA,"AVENIDA AGUANAMBI, 1393, FATIMA, FORTALEZA",-3.748629,-38.5229264
3516,MERCANTIL E FRIGORIFICO CARNEIRO,,,RUA SALUSTIANO DE PINHO,353,SAO FRANCISCO,VICOSA DO CEARA,"RUA SALUSTIANO DE PINHO, 353, SAO FRANCISCO, VICOSA DO CEARA",-3.5685025,-41.0923987
3526,MERCADINHO LINO BRITO,,,RUA SALUSTIANO DE PINHO,193,CENTRO,VICOSA DO CEARA,"RUA SALUSTIANO DE PINHO, 193, CENTRO, VICOSA DO CEARA",-3.5684055,-41.0914002
3533,PAO DE ACUCAR - IGUATEMI (1339),GPA,PAO DE ACUCAR,AVENIDA WASHINGTON SOARES,85,EDSON QUEIROZ,FORTALEZA,"AVENIDA WASHINGTON SOARES, 85, EDSON QUEIROZ, FORTALEZA",-3.75451369,-38.48921518
3535,MERC O FERNANDO,,,RUA CAPITAO JOAQUIM FRANCISCO,1160,CENTRO,FRECHEIRINHA,"RUA CAPITAO JOAQUIM FRANCISCO, 1160, CENTRO, FRECHEIRINHA",-3.7596173,-40.8130758
3537,MRC JD,,,RUA ALTO SAO FRANCISCO,SN,SAO FRANCISCO,TRAIRI,"RUA ALTO SAO FRANCISCO, SN, SAO FRANCISCO, TRAIRI",-3.2848244,-39.2650365
3542,H SANTOS,,,RUA COLIBRI,844,PARQUE POTIRA,CAUCAIA,"RUA COLIBRI, 844, PARQUE POTIRA, CAUCAIA",-3.7591887,-38.6294438
3552,RAIMAR - QUIXERAMOBIM (SUPER PRA VOCE),,RAIMAR,RUA CONEGO PINTO DE MENDONCA,108,CENTRO,QUIXERAMOBIM,"RUA CONEGO PINTO DE MENDONCA, 108, CENTRO, QUIXERAMOBIM",-5.1987192,-39.2955168
3558,MERCADINHO O CARLAO,,,RUA FRANCISCO JOSE DE LOIOLA,180,EDMUNDO RODRIGUES,FORQUILHA,"RUA FRANCISCO JOSE DE LOIOLA, 180, EDMUNDO RODRIGUES, FORQUILHA",-3.7992904,-40.2698386
3568,MERCADINHO DO JAMILTON,,,RUA ADRIANO MARTINS,703,PACHECO,CAUCAIA,"RUA ADRIANO MARTINS, 703, PACHECO, CAUCAIA",-3.6915836,-38.6353067
3577,MERC O MARINALDO,,,ESTRADA POVOADO CAUASSU,SN,ZONA RURAL,ACARAU,"ESTRADA POVOADO CAUASSU, SN, ZONA RURAL, ACARAU",-2.8633781,-40.0531178
3584,SANTA EDWIGES - JD GUANABARA - LJ 02,REDE UNIFORCA,SANTA EDWIRGENS,RUA ROSINHA SAMPAIO,1150,JARDIM GUANABARA,FORTALEZA,"RUA ROSINHA SAMPAIO, 1150, JARDIM GUANABARA, FORTALEZA",-3.726481,-38.5888279
3585,PADARIA EDEN,,,AVENIDA SAO VICENTE,473,SAO VICENTE,CARNAUBAL,"AVENIDA SAO VICENTE, 473, SAO VICENTE, CARNAUBAL",-4.1762472,-40.9462375
3587,MERCEARIA O WILSON,,,SITIO ITAPECIMA,SN,TABOCA,UBAJARA,"SITIO ITAPECIMA, SN, TABOCA, UBAJARA",-3.8388004,-40.8981235
3591,MERCADIHO TRES IRMAOS,,,RUA MANOEL TEIXEIRA,233,CENTRO,TRAIRI,"RUA MANOEL TEIXEIRA, 233, CENTRO, TRAIRI",-3.2772607,-39.267073
3595,COMERCIAL LOPES,,,RUA JOSE EDMILSON AGUIAR,60,CENTRO,RERIUTABA,"RUA JOSE EDMILSON AGUIAR, 60, CENTRO, RERIUTABA",-4.1404234,-40.5826498
3597,MERC IRMAO REGINALDO,,,RUA MARIA JOQUIM,SN,CENTRO,SANTANA DO ACARAU,"RUA MARIA JOQUIM, SN, CENTRO, SANTANA DO ACARAU",-3.4602306,-40.2129048
3601,MERC LUIZ BARROS,,,AVENIDA MANOEL SALES,338,CENTRO,ITAREMA,"AVENIDA MANOEL SALES, 338, CENTRO, ITAREMA",-2.927378,-39.9123505
3602,MERCANTIL LIBERATO,,,RUA PEDRO VIANA MADEIRA,388,CAMPO DOS VELHOS,SOBRAL,"RUA PEDRO VIANA MADEIRA, 388, CAMPO DOS VELHOS, SOBRAL",-3.6734428,-40.3523301
3625,SUPERMERCADO TIO AUGUSTO - LJ 03,,SUPER TIO AUGUSTO,AVENIDA ESC. PEDRO FERREIRA DE ASSIS,389,CENTRO,IBIAPINA,"AVENIDA ESC. PEDRO FERREIRA DE ASSIS, 389, CENTRO, IBIAPINA",-3.9210962,-40.8897915
3643,CLAECK SUPERMERCADO - PRQ JERUSALEM,REDE INTEGRADA,CLAECK SUPERMERCADO,AVENIDA MONTE PASCOAL,715,CANINDEZINHO,FORTALEZA,"AVENIDA MONTE PASCOAL, 715, CANINDEZINHO, FORTALEZA",-3.806077,-38.5966382
3647,MERCADINHO O CARLINHO,,,RUA MANOEL GOMES HONORATO,80,PAULO VIEIRA DE MESQUITA,ITAPAJE,"RUA MANOEL GOMES HONORATO, 80, PAULO VIEIRA DE MESQUITA, ITAPAJE",-3.69142802,-39.58587159
3651,PAO DA VIDA,,,RUA PADRE JOSE MARIA MOURA,57,NOVA METROPOLE,CAUCAIA,"RUA PADRE JOSE MARIA MOURA, 57, NOVA METROPOLE, CAUCAIA",-3.7663142,-38.6469808
3660,SUPER SOFYA - ARATUBA,REDE CEARENSE,SUPER SOFYA,TRAVESSA SILVEIRA GOES,127,CENTRO,ARATUBA,"TRAVESSA SILVEIRA GOES, 127, CENTRO, ARATUBA",-4.41865618,-39.04646214
3664,MERCADINHO SAO FRANCISCO,,,RUA DOUTOR JOSE DA SILVEIRA,456,CENTRO,TRAIRI,"RUA DOUTOR JOSE DA SILVEIRA, 456, CENTRO, TRAIRI",-3.2758305,-39.2638439
3666,MERCANTIL CARDOSO,,,SITIO MORRINHOS NOVOS,SN,ZONA RURAL,GUARACIABA DO NORTE,"SITIO MORRINHOS NOVOS, SN, ZONA RURAL, GUARACIABA DO NORTE",-4.1760477,-40.8663156
3692,PADARIA MARCLEANE,,,RUA VICENTE SIEBRA,2562,VIOLETE,ITAPIPOCA,"RUA VICENTE SIEBRA, 2562, VIOLETE, ITAPIPOCA",-3.4836352,-39.5741479
3698,SUPER SANTO ANTONIO,,,RUA CORONEL FELIX,1307,CENTRO,IPU,"RUA CORONEL FELIX, 1307, CENTRO, IPU",-4.3240487,-40.7090086
3705,MERCANTIL O MARCIO,,,RUA CAPITAO JUSTINIANO,443,JARDIM BANDEIRANTES,MARACANAU,"RUA CAPITAO JUSTINIANO, 443, JARDIM BANDEIRANTES, MARACANAU",-3.8754221,-38.5915102
3715,MERCANTIL SUPER RMC,REDE PARCERIA,RMC/MFC,AVENIDA MINISTRO ALBUQUERQUE LIMA,40,CONJUNTO CEARA,FORTALEZA,"AVENIDA MINISTRO ALBUQUERQUE LIMA, 40, CONJUNTO CEARA, FORTALEZA",-3.7667473,-38.6108829
3716,MERCADINHO O LEONARDO,,,RUA CORONEL GILO,247,VARZEA DO GILO,IPU,"RUA CORONEL GILO, 247, VARZEA DO GILO, IPU",-4.31687759,-40.73477268
3731,QUEIROZ SUPERMERCADO - ARACOIABA,REDE CEARENSE,QUEIROZ SUPERMERCADO,RUA RAIMUNDO DE CASTRO SILVA,385,CENTRO,ARACOIABA,"RUA RAIMUNDO DE CASTRO SILVA, 385, CENTRO, ARACOIABA",-4.37202963,-38.81003395
3737,ATACAREJO SAO FCO - IPUEIRAS,,ATACAREJO SAO FCO,RUA PADRE ANGELIM,543,CENTRO,IPUEIRAS,"RUA PADRE ANGELIM, 543, CENTRO, IPUEIRAS",-4.5417351,-40.7152827
